,mag,effectif,Pays_Cotier
1401.0,1.4,,
1402.0,2.1,,
1403.0,2.0,,
1405.0,1.24,,
1406.0,1.2,,
1407.0,1.8,,
1409.0,0.2,,
1410.0,1.53,,
1411.0,2.1,,
1412.0,4.1,,
1413.0,0.9,,
1414.0,0.2,,
1415.0,1.7,,
1416.0,1.39,,
1417.0,0.44,,
1418.0,2.5,,
1419.0,0.97,,
1420.0,4.4,,
1421.0,4.7,,
1423.0,1.0,,
1424.0,4.1,,
1425.0,1.2,,
1426.0,5.3,,
1427.0,1.6,,
1428.0,1.2,,
1430.0,1.08,,
1432.0,1.6,,
1433.0,5.0,,
1434.0,1.2,,
1435.0,2.1,,
1436.0,0.9,,
1437.0,2.1,,
1438.0,4.7,,
1439.0,4.4,,
1440.0,4.8,,
1441.0,4.7,,
1442.0,1.1,,
1443.0,0.4,,
1444.0,0.58,,
1445.0,1.1,,
1446.0,1.2,,
1447.0,0.6,,
1448.0,1.2,,
1449.0,4.6,,
1450.0,1.92,,
1451.0,1.76,,
1452.0,1.0,,
1453.0,1.4,,
1454.0,0.1,,
1455.0,0.8,,
1456.0,1.1,,
1457.0,1.08,,
1458.0,1.0,,
1459.0,0.74,,
1460.0,0.6,,
1461.0,1.47,,
1462.0,1.8,,
1463.0,4.1,,
1464.0,1.2,,
1465.0,0.88,,
1466.0,1.4,,
1467.0,0.37,,
1468.0,0.37,,
1470.0,4.6,,
1471.0,0.5,,
1472.0,1.1,,
1473.0,1.7,,
1474.0,1.3,,
1475.0,0.83,,
1476.0,1.0,,
1477.0,0.19,,
1478.0,0.44,,
1479.0,1.4,,
1480.0,1.4,,
1481.0,0.52,,
1482.0,0.73,,
1483.0,0.46,,
1484.0,1.14,,
1485.0,1.5,,
1486.0,0.87,,
1487.0,0.8,,
1488.0,1.16,,
1489.0,2.5,,
1490.0,3.19,,
1491.0,0.44,,
1492.0,1.8,,
1493.0,1.45,,
1494.0,1.9,,
1495.0,0.63,,
1496.0,1.65,,
1497.0,1.2,,
1498.0,1.2,,
1499.0,1.8,,
1500.0,3.2,,
1501.0,1.2,,
1502.0,1.3,,
1503.0,4.3,,
1504.0,1.2,,
1505.0,1.18,,
1506.0,0.6,,
1507.0,2.2,,
1508.0,1.2,,
1509.0,1.4,,
1510.0,4.2,,
1511.0,1.9,,
1512.0,0.2,,
1513.0,2.0,,
1514.0,1.0,,
1515.0,0.63,,
1516.0,1.3,,
1517.0,0.8,,
1518.0,0.08,,
1519.0,1.9,,
1520.0,1.9,,
1521.0,4.1,,
1522.0,2.0,,
1523.0,4.6,,
1524.0,0.9,,
1525.0,1.4,,
1526.0,0.86,,
1527.0,1.3,,
1528.0,0.9,,
1529.0,1.5,,
1530.0,4.0,,
1531.0,1.4,,
1532.0,4.3,,
1533.0,1.6,,
1535.0,4.4,,
1536.0,0.8,,
1538.0,2.7,,
1539.0,2.3,,
1540.0,0.8,,
1541.0,0.9,,
1542.0,1.5,,
1543.0,1.3,,
1544.0,0.25,,
1545.0,3.4,,
1546.0,1.65,,
1548.0,4.8,,
1549.0,1.1,,
1551.0,4.2,,
1552.0,0.5,,
1553.0,1.2,,
1554.0,4.2,,
1555.0,0.83,,
1556.0,1.44,,
1557.0,2.8,,
1558.0,1.8,,
1559.0,2.2,,
1560.0,1.3,,
1561.0,1.0,,
1562.0,1.2,,
1564.0,2.2,,
1566.0,0.7,,
1567.0,2.7,,
1569.0,0.5,,
1570.0,1.4,,
1571.0,1.6,,
1572.0,1.12,,
1573.0,1.3,,
1574.0,0.3,,
1575.0,1.3,,
1576.0,1.1,,
1577.0,1.9,,
1578.0,1.2,,
1579.0,4.7,,
1580.0,4.0,,
1581.0,0.4,,
1582.0,0.01,,
1583.0,1.1,,
1585.0,1.7,,
1586.0,1.2,,
1587.0,0.8,,
1588.0,0.6,,
1589.0,1.1,,
1591.0,4.1,,
1592.0,4.1,,
1593.0,1.5,,
1594.0,2.2,,
1595.0,0.6,,
1596.0,2.2,,
1597.0,1.2,,
1598.0,0.3,,
1600.0,1.7,,
1601.0,4.0,,
1602.0,1.6,,
1603.0,3.7,,
1604.0,1.1,,
1605.0,1.17,,
1606.0,3.1,,
1607.0,0.9,,
1609.0,2.0,,
1610.0,0.7,,
1611.0,4.8,,
1612.0,1.6,,
1614.0,5.1,,
1617.0,2.3,,
1618.0,4.3,,
1619.0,1.0,,
1620.0,0.72,,
1621.0,1.6,,
1622.0,0.5,,
1623.0,1.4,,
1624.0,0.9,,
1625.0,0.8,,
1627.0,1.7,,
1628.0,1.8,,
1629.0,0.6,,
1630.0,1.2,,
1631.0,0.4,,
1632.0,0.6,,
1633.0,4.2,,
1634.0,0.3,,
1635.0,2.2,,
1637.0,0.3,,
1639.0,1.0,,
1640.0,1.2,,
1641.0,0.9,,
1643.0,4.6,,
1645.0,1.71,,
1647.0,1.2,,
1648.0,0.08,,
1649.0,1.0,,
1650.0,1.03,,
1651.0,1.3,,
1652.0,1.38,,
1654.0,1.01,,
1656.0,0.5,,
1658.0,4.3,,
1659.0,1.2,,
1660.0,4.1,,
1661.0,0.9,,
1662.0,4.3,,
1663.0,1.7,,
1664.0,1.8,,
1665.0,1.1,,
1666.0,0.9,,
1667.0,1.2,,
1668.0,4.4,,
1669.0,1.8,,
1670.0,4.2,,
1671.0,0.38,,
1672.0,2.2,,
1674.0,4.2,,
1675.0,0.7,,
1678.0,1.1,,
1679.0,1.4,,
1681.0,4.1,,
1682.0,1.3,,
1683.0,1.1,,
1684.0,4.6,,
1685.0,1.4,,
1686.0,0.4,,
1687.0,4.2,,
1688.0,2.5,,
1689.0,0.9,,
1690.0,0.9,,
1691.0,0.3,,
1692.0,1.6,,
1693.0,1.5,,
1694.0,1.3,,
1695.0,0.3,,
1696.0,2.1,,
1697.0,3.1,,
1698.0,3.3,,
1699.0,1.11,,
1700.0,4.1,,
1701.0,1.5,,
1703.0,1.0,,
1704.0,5.0,,
1705.0,0.9,,
1706.0,4.4,,
1707.0,0.3,,
1708.0,1.4,,
1709.0,0.5,,
1710.0,0.3,,
1711.0,0.2,,
1712.0,4.2,,
1713.0,0.9,,
1714.0,4.7,,
1715.0,4.6,,
1717.0,4.2,,
1718.0,4.4,,
1719.0,0.9,,
