,mag
4616,1.07
4619,0.35
4621,0.26
4623,0.6
4625,0.52
4626,1.1
4631,0.7
4633,1.0
4635,1.31
4636,1.2
4638,0.2
4639,0.22
4642,1.0
4644,0.74
4646,1.0
4652,0.69
4653,1.7
4658,0.6
4659,0.62
4661,1.08
4662,0.43
4664,0.9
4665,1.8
4666,0.4
4668,1.0
4670,1.0
4671,0.98
4673,0.8
4678,1.44
4680,1.1
4681,0.6
4686,2.0
4687,0.36
4688,1.27
4689,1.9
4690,1.2
4691,0.8
4692,1.1
4693,0.18
4699,0.7
4704,0.43
4707,1.08
4708,1.42
4710,0.9
4716,1.4
4722,3.19
4726,0.5
4742,0.8
4744,0.6
4748,0.9
4760,0.6
4761,1.7
4762,1.09
4768,3.63
4771,1.32
4773,0.96
4774,1.48
4775,0.85
4783,0.93
4787,1.7
4791,0.9
4797,0.37
4803,1.12
4809,0.9
4810,1.2
4811,0.71
4813,0.4
4814,0.5
4815,1.9
4816,1.0
4817,1.6
4818,0.5
4819,1.2
4821,1.47
4822,1.22
4827,1.5
4829,0.9
4831,0.6
4832,0.3
4833,0.5
4838,1.3
4841,0.79
4845,1.77
4848,0.4
4849,0.71
4850,0.4
4855,1.1
4858,0.86
4861,0.7
4862,1.4
4864,0.6
4866,1.64
4867,1.27
4872,1.78
4873,1.25
4879,0.25
4880,1.36
4883,0.83
4889,0.2
4894,1.3
4903,0.7
4904,1.51
4907,0.6
4912,1.8
4914,1.34
4922,1.67
4924,1.1
4926,0.04
4929,1.7
4931,2.3
4935,1.0
4938,0.2
4941,0.5
4942,1.8
4943,0.9
4948,0.61
4949,0.36
4951,0.9
4952,1.03
4954,1.4
4955,1.4
4956,0.01
4959,0.98
4961,1.01
4962,0.66
4964,1.2
4967,0.9
4968,0.6
4976,0.54
4979,1.67
4980,1.09
4982,1.13
4984,1.39
4985,0.9
4986,1.0
4987,1.5
4989,1.1
4997,1.8
4999,1.7
5000,0.9
5003,0.4
5006,0.2
5009,0.86
5014,2.3
5016,0.4
5023,0.9
5026,1.0
5027,0.9
5029,0.6
5031,0.6
5033,0.6
5036,1.3
5041,0.2
5042,1.1
